Running on 20 processes.
Dict{Symbol, Real}(:n => 250, :time_mpi => 40.924162876, :time_wo => 81.979491479, :n_cores => 20)
Dict{Symbol, Real}(:n => 250, :time_mpi => 40.99423976, :time_wo => 81.885752972, :n_cores => 20)
Dict{Symbol, Real}(:n => 250, :time_mpi => 40.965413955, :time_wo => 82.608491488, :n_cores => 20)
Dict{Symbol, Real}(:n => 250, :time_mpi => 40.858849181, :time_wo => 83.16189567, :n_cores => 20)
Dict{Symbol, Real}(:n => 250, :time_mpi => 40.840736662, :time_wo => 83.572970305, :n_cores => 20)
Dict{Symbol, Real}(:n => 250, :time_mpi => 40.87790962, :time_wo => 86.439381239, :n_cores => 20)
Dict{Symbol, Real}(:n => 250, :time_mpi => 40.923707783, :time_wo => 87.94788126, :n_cores => 20)
Dict{Symbol, Real}(:n => 250, :time_mpi => 40.930019838, :time_wo => 88.92387472, :n_cores => 20)
Dict{Symbol, Real}(:n => 250, :time_mpi => 40.985162588, :time_wo => 90.900878756, :n_cores => 20)
Dict{Symbol, Real}(:n => 250, :time_mpi => 40.923309286, :time_wo => 91.637165993, :n_cores => 20)
Dict{Symbol, Real}(:n => 250, :time_mpi => 40.976461858, :time_wo => 91.866326187, :n_cores => 20)
Dict{Symbol, Real}(:n => 250, :time_mpi => 40.994332371, :time_wo => 92.285595426, :n_cores => 20)
Dict{Symbol, Real}(:n => 250, :time_mpi => 40.928921025, :time_wo => 92.934576702, :n_cores => 20)
Dict{Symbol, Real}(:n => 250, :time_mpi => 40.933555582, :time_wo => 94.136267275, :n_cores => 20)
Dict{Symbol, Real}(:n => 250, :time_mpi => 40.912889514, :time_wo => 95.146877222, :n_cores => 20)
Dict{Symbol, Real}(:n => 250, :time_mpi => 40.856532303, :time_wo => 96.445847467, :n_cores => 20)
Dict{Symbol, Real}(:n => 250, :time_mpi => 40.978115478, :time_wo => 97.017944243, :n_cores => 20)
Dict{Symbol, Real}(:n => 250, :time_mpi => 40.934875014, :time_wo => 98.075036071, :n_cores => 20)
Dict{Symbol, Real}(:n => 250, :time_mpi => 40.917445614, :time_wo => 99.374966299, :n_cores => 20)
Dict{Symbol, Real}(:n => 250, :time_mpi => 40.868934993, :time_wo => 100.544653078, :n_cores => 20)
